"ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"93be5f7c920c9258b1a15972a5cb2173",1.26124434895008,4.42534321355577,1.09889925304451,4.02706908872249,5.64764416990886e-05,0.00723963929965881
"7d663c318c1458dc6284f58275e70bac",6.98251813881585,7.81048233078125,1.89422179117733,4.12331985998679,3.7345054035783e-05,0.00560175810536744
"d9be44b9b1564522d4d0778bbb6548d9",1.62893776067749,5.71312056439588,1.138935488985,5.01619329597617,5.27053044674835e-07,0.000197644891753063
"b8f980ec6ad0c86efb83bd1f64c3a252",13.6843413584742,-9.40847258877907,2.24833774634534,-4.18463489485621,2.85624796451182e-05,0.00476041327418637
"8980d63ba265c030b34140ebf8ba4bf1",1.72143440635204,-6.90118607186591,0.790892277409666,-8.72582305958114,2.6425158293161e-18,1.98188687198707e-15
"fab6bf5c7023aa62ccba8facac30cbc9",1.44223323931867,4.74038754029547,1.17886651019215,4.02114022182443,5.79171143972705e-05,0.00723963929965881
"b9e12769306801a228febd5f81f76649",2.18439924082627,-5.8950961662514,1.39105938468001,-4.23784651552277,2.25673954109773e-05,0.00423138663955824
"c1ed8902e59b89f73603cff76914a70f",1.10414369922414,-3.95447231419937,0.797674135362081,-4.95750349533943,7.1404758112733e-07,0.000214214274338199
"1a5603a4beac5cc9f76b07917707dbed",1.08634058380876,-3.64415754659329,0.801315414237526,-4.54771926490495,5.42304083501044e-06,0.00135576020875261
"1875d4e7a11ed24c92a865355693b86c",4.13094627958539,-7.29484216893496,1.67620023367686,-4.35201118719166,1.348943771223e-05,0.00289059379547786
"2b626f90c0afc78fb0e76ce5406d2e83",2.4842132908333,-7.95749691812166,0.79510203912514,-10.0081455291919,1.40358825097458e-23,2.10538237646187e-20
"d3dd3fe4c10f5723a8a7664afef8a32e",1.13974993005491,-4.42649164916884,0.80061034790771,-5.52889637354413,3.22251618552817e-08,1.61125809276408e-05
